Date,Ent-Open,Ent-High,Ent-Low,Ent-Close,Ent-Adj Close,Power-Open,Power-High,Power-Low,Power-Close,Power-Adj Close,Ports-Open,Ports-High,Ports-Low,Ports-Close,Ports-Adj Close
2020-09-02,283,306,280.399994,293.049988,293.049988,39.200001,39.450001,38.349998,39.150002,39.150002,352.950012,363.5,344.100006,359.899994,359.899994
2020-09-03,294.75,298.700012,287.649994,291.25,291.25,39,39.200001,38.549999,38.650002,38.650002,363.5,368,359.549988,366,366
2020-09-04,284,293.450012,280.100006,285.149994,285.149994,37.700001,38.549999,37.5,37.599998,37.599998,363.399994,363.399994,351.100006,353,353
2020-09-07,285.149994,291.700012,282.049988,285.25,285.25,37.900002,37.950001,37.150002,37.200001,37.200001,355,357.950012,347.200012,352.049988,352.049988
2020-09-08,286,289.799988,273.549988,277.700012,277.700012,37.200001,37.799999,37.099998,37.150002,37.150002,352.700012,355.950012,343.549988,345.600006,345.600006
2020-09-09,276.899994,286.899994,274.399994,283.049988,283.049988,36.900002,37.200001,36.700001,37.099998,37.099998,344.399994,346.299988,335.350006,343.850006,343.850006
2020-09-10,287.649994,307.950012,285.899994,298.299988,298.299988,37.5,38.150002,37.25,37.650002,37.650002,346,348.950012,336.600006,341.600006,341.600006
2020-09-11,299,303.649994,292.100006,296,296,37.900002,37.900002,37.200001,37.400002,37.400002,341,343.899994,333.450012,342.5,342.5
2020-09-14,301.799988,304,290.149994,293.149994,293.149994,37.700001,37.799999,37.099998,37.25,37.25,345,353.600006,343.450012,351.649994,351.649994
2020-09-15,294.899994,298.700012,270,288.549988,288.549988,37.299999,37.599998,37.099998,37.150002,37.150002,355.100006,356.799988,351,352.649994,352.649994
2020-09-16,292.700012,302.850006,290.100006,297.100006,297.100006,37.200001,37.400002,37.099998,37.150002,37.150002,352.25,356.100006,348.950012,353.549988,353.549988
2020-09-17,295,300.799988,292.149994,293.700012,293.700012,37.099998,37.299999,36.849998,37,37,352,355.5,345,346.100006,346.100006
2020-09-18,297.600006,299.700012,287.299988,291.549988,291.549988,37,37.75,37,37.400002,37.400002,348.700012,359.799988,347.100006,357.850006,357.850006
2020-09-21,293,296.25,265,277.100006,277.100006,37.450001,37.799999,36.799999,37,37,358,359,343.950012,347.850006,347.850006
2020-09-22,278.25,283,257.5,280.399994,280.399994,36.950001,37.099998,36.049999,36.700001,36.700001,347.850006,348.350006,327.149994,332.299988,332.299988
2020-09-23,283.950012,296.25,278.450012,283.549988,283.549988,36.650002,37.400002,36.349998,36.650002,36.650002,332.549988,335.350006,320.149994,324.600006,324.600006
2020-09-24,277.950012,281.25,269.5,270.450012,270.450012,36.400002,36.650002,36.150002,36.299999,36.299999,321.549988,322.950012,312.100006,313.75,313.75
2020-09-25,275.899994,283.600006,275,280.299988,280.299988,36.450001,36.900002,36.299999,36.599998,36.599998,319,329.700012,315.600006,326.149994,326.149994
2020-09-28,283.100006,302.049988,282.100006,295.700012,295.700012,36.900002,37.299999,36.650002,37.150002,37.150002,327.799988,343.200012,327.799988,339.549988,339.549988
2020-09-29,299.899994,307,292.149994,297.899994,297.899994,37.299999,37.549999,37.099998,37.25,37.25,343.399994,346.399994,336.899994,341,341
2020-09-30,300,304.700012,295.100006,297.100006,297.100006,37.25,37.299999,36.799999,36.900002,36.900002,340.549988,346.549988,330,341.75,341.75
2020-10-01,299.799988,311.950012,296,308.149994,308.149994,37,37.349998,36.849998,37.049999,37.049999,345.5,354.899994,344.5,353.299988,353.299988
2020-10-05,311.5,334.5,307.350006,326.600006,326.600006,37.099998,37.299999,36.849998,36.900002,36.900002,355.899994,358,348.450012,350.350006,350.350006
2020-10-06,329.399994,331.149994,320.299988,327.149994,327.149994,37,37.150002,36.849998,36.849998,36.849998,356,364.5,354.850006,362.899994,362.899994
2020-10-07,325.149994,335.600006,323.25,330.100006,330.100006,36.849998,37.299999,36.400002,36.5,36.5,362.549988,368.75,359,360.649994,360.649994
2020-10-08,329,329.799988,310.5,316.25,316.25,36.349998,36.799999,36.25,36.299999,36.299999,359.799988,362.799988,356.350006,359.75,359.75
